Timestamp,Open,Close,Low,High,Volume_(BTC),Volume_(Currency),Weighted_Price,hash_rate,Search_volume,Block_size,Difficulty,active_addresses,Block_time,Average fees,mining_profitability,Transactions,Tweets_volume
2016-09-23,595.42,601.42,593.0,602.9,4007.882758610002,2394294.7319133976,600.70164097,1526764.96354624,2.0,805178.0,225832872179.0,422012,10.588,0.161,0.689,223051,19726
2016-09-24,600.47,599.33,597.76,603.59,1140.2330378099998,685185.0829019678,599.44982795,1874777.56,2.0,635804.0,225832872179.0,424429,8.675,0.171,0.813,208484,17748
2016-09-25,600.05,598.98,596.0,601.99,1086.8357985400005,650928.9146866242,598.98,2230413.26,2.0,570823.0,234736618674.0,399415,7.784,0.153,0.623,195457,17984
2016-09-26,598.95,606.47,596.1,607.27,4056.3937155100057,2444753.793978052,606.47,1834694.78230379,2.0,770752.0,241227200230.0,479715,9.412,0.159,0.602,230616,20210
2016-09-27,606.7,604.26,600.02,608.37,3055.816370380006,1846161.5050642972,604.79721233,2026558.28,2.0,764157.0,241227200230.0,489447,8.623,0.159,0.706,240168,20912
2016-09-28,605.07,603.95,601.41,605.3,2202.74962821,1329117.198208845,603.95,1774737.43,2.0,782223.0,241227200230.0,462481,9.73,0.167,0.601,234847,19750
2016-09-29,603.93,605.6,601.0,605.99,2718.019193229996,1641055.4371355283,605.24457766,1714780.09064995,2.0,832733.0,241227200230.0,460805,10.07,0.171,0.639,242587,21230
2016-09-30,605.59,608.23,603.15,608.39,2633.4448928499974,1593409.0406786732,608.23,1702788.62,2.0,843274.0,241227200230.0,499898,10.141,0.165,0.678,250801,17676
2016-10-01,608.23,612.98,608.23,614.28,1458.8437451299967,892033.663641581,612.98,1882660.65,2.0,711194.0,241227200230.0,445128,9.172,0.168,0.643,213773,17285
2016-10-02,612.98,608.6,605.0,613.0,1407.059292499999,856141.6519493003,608.6,1690797.15231918,2.0,718449.0,241227200230.0,404625,10.213,0.169,0.591,192542,16869
2016-10-03,608.6,611.16,606.6,612.98,2245.892346559999,1370270.0154484715,611.16,1822703.31,2.0,864471.0,241227200230.0,567947,9.536,0.178,0.742,258654,22770
2016-10-04,612.84,607.19,604.99,612.84,2955.423838159998,1795599.846794339,607.19,1894652.12,2.0,823856.0,241227200230.0,522537,9.114,0.164,0.655,264504,20191
2016-10-05,607.19,608.49,605.76,612.0,2410.9261136100013,1469331.4777817791,608.0760958,2002575.35061917,2.0,788829.0,241227200230.0,508775,8.623,0.167,0.678,266644,19102
2016-10-06,608.01,610.25,607.09,610.5,2039.8203567100015,1242954.858637552,610.25,1930626.53,2.0,827318.0,241227200230.0,535241,8.944,0.173,0.654,274325,19174
2016-10-07,610.25,614.88,607.52,616.34,4033.821854379996,2468265.954081797,614.88,1726771.55,2.0,867413.0,241227200230.0,504849,10.07,0.166,0.623,266181,21247
2016-10-08,614.88,614.34,612.5,616.99,888.6600211100006,546015.4103165239,614.34,2171858.80432592,2.0,761159.0,250540187709.0,486564,8.521,0.166,0.68,250503,18265
2016-10-09,614.34,613.06,610.0,614.98,1174.2611388700002,719904.6568424903,613.06,2056197.68,3.0,682170.0,258522748405.0,445996,9.0,0.171,0.606,210388,17597
2016-10-10,612.12,616.0,612.12,616.47,2295.5230284600007,1410892.8873917074,615.87040429,1606404.44,3.0,858339.0,258522748405.0,430931,11.613,0.188,0.533,222872,19079
2016-10-11,616.37,639.0,614.56,639.0,8087.319336620009,5100218.347710618,638.99279431,1786321.73846925,3.0,923006.0,258522748405.0,531545,10.36,0.194,0.668,263426,20605
2016-10-12,638.3,634.5,628.76,640.0,2658.527767869998,1690227.1140802023,634.5,1863429.15,3.0,864463.0,258522748405.0,463491,10.0,0.187,0.672,233296,19254
2016-10-13,634.5,634.02,630.0,636.0,2381.500679750002,1510988.6689206932,634.02,1644958.14,3.0,911957.0,258522748405.0,448239,11.25,0.186,0.625,229575,17289
2016-10-14,635.16,638.2,630.45,639.99,3154.8233502599983,2003219.142365655,638.2,1747768.03188358,3.0,858612.0,258522748405.0,463279,10.588,0.181,0.631,239588,17479
2016-10-15,638.2,635.96,635.25,642.0,1421.8536106599986,908251.5429111487,635.96,1824875.44,3.0,781569.0,258522748405.0,413503,10.141,0.19,0.671,210306,20593
2016-10-16,635.26,638.97,635.18,641.4,1289.5372460899987,823539.5479045304,638.97,1670660.61,3.0,758815.0,258522748405.0,402396,11.077,0.186,0.615,197746,18498
2016-10-17,638.97,636.91,632.1,639.99,3958.036534399999,2516207.27874133,636.91,1606404.44106947,3.0,929590.0,258522748405.0,473540,11.52,0.195,0.628,237107,18689
2016-10-18,636.96,635.95,631.52,637.8,2731.1763497700026,1735476.5578281702,635.95,1991941.5,3.0,841766.0,258522748405.0,474941,9.29,0.196,0.687,251366,17940
2016-10-19,635.95,627.98,624.13,638.04,4472.899983919995,2824080.052202865,627.98,1619255.67,3.0,807319.0,258522748405.0,425182,11.52,0.198,0.543,198958,20522
2016-10-20,627.84,628.89,625.0,630.22,2040.0098747300012,1280448.6774376254,628.92671725,1722065.56082647,3.0,977349.0,258522748405.0,545527,10.746,0.208,0.716,270246,17281
2016-10-21,628.05,629.0,627.5,632.36,3050.509329030001,1919969.053721383,629.0,2107602.62,3.0,791003.0,258522748405.0,515509,8.78,0.181,0.726,265191,15145
2016-10-22,628.99,654.52,628.57,656.0,4351.619478180003,2812594.616973611,654.52,1878507.28,3.0,793790.0,257535264828.0,447836,9.664,0.197,0.566,216559,13770
2016-10-23,654.52,648.74,647.51,656.0,2535.010192649993,1651700.1923769126,648.74,1815470.12498659,3.0,792254.0,253618246641.0,409201,10.0,0.23,0.678,191434,14832
2016-10-24,648.71,648.6,640.0,652.25,4679.001414300003,3027622.025724944,648.6,1802862.69,3.0,886287.0,253618246641.0,531408,10.07,0.233,0.655,226837,18801
2016-10-25,649.03,651.97,643.0,657.58,6106.916178969996,3982507.666727948,651.34140581,1752432.96,3.0,943845.0,253618246641.0,562438,10.36,0.274,0.661,236891,15756
2016-10-26,651.97,675.11,651.69,677.0,6716.231463410002,4466380.410830459,675.02361598,1752432.9678689996,3.0,974315.0,253618246641.0,561011,10.435,0.369,0.725,223178,17995
2016-10-27,674.63,684.71,665.59,685.89,4545.436208039998,3090089.929367787,684.71991937,2042403.89,3.0,977543.0,253618246641.0,643112,8.889,0.232,0.787,326226,19247
2016-10-28,684.68,685.91,677.05,687.23,3574.0754681400017,2446577.639607034,685.91,1916329.57,3.0,816431.0,253618246641.0,499703,9.474,0.225,0.685,250724,19798
2016-10-29,685.91,711.13,684.89,717.99,4034.884008380001,2839203.5710344827,711.86739377,1878507.28210418,3.0,772957.0,253618246641.0,460352,9.664,0.225,0.72,229540,18463
2016-10-30,711.1,697.23,691.49,711.78,3752.525371900004,2630802.8016738323,697.23,2130655.91,3.0,626321.0,253618246641.0,408766,8.571,0.212,0.775,207814,19812
2016-10-31,697.1,697.01,683.6,706.97,4655.892512119994,3246833.1274376498,697.01064699,1853292.41,3.0,810901.0,253618246641.0,515181,9.796,0.221,0.633,241631,23052
2016-11-01,697.04,726.6,695.38,737.0,6570.0188544300045,4746887.117991577,726.6,1815470.12498659,3.0,856969.0,253618246641.0,539566,10.0,0.23,0.737,246506,21499
2016-11-02,726.6,742.0,717.32,742.0,4320.531719149998,3133467.1909634364,741.89764693,1676788.37,3.0,903626.0,253618246641.0,509816,10.827,0.215,0.773,268285,20959
2016-11-03,742.0,685.22,670.32,745.19,12102.242731439996,8620853.875381742,685.21006497,1966759.3,3.0,832530.0,253618246641.0,513862,9.29,0.21,0.764,271843,20253
2016-11-04,684.84,702.7,681.0,707.67,5345.679214699998,3725359.6483504064,702.70881137,1462462.04512809,3.0,956025.0,253618246641.0,474308,12.414,0.238,0.64,247927,18517
2016-11-05,702.95,703.46,694.71,707.34,1918.311511009999,1346262.9649294354,703.43812238,1885928.48,3.0,792371.0,253965858708.0,478145,9.796,0.218,0.795,238068,17653
2016-11-06,703.33,709.93,697.92,714.36,2292.8635227000027,1620784.5607805972,709.93,1949214.67,3.0,730706.0,254620187304.0,464241,9.412,0.222,0.736,225633,20121
2016-11-07,709.92,702.86,698.26,709.92,3020.872403280002,2123754.4794443185,702.86,1847956.77194818,3.0,886636.0,254620187304.0,531494,9.863,0.234,0.705,274135,22734
2016-11-08,702.86,709.31,701.02,712.92,5526.474593430005,3905868.363357024,709.31,2139073.24,3.0,866183.0,254620187304.0,583441,8.521,0.213,0.776,295891,22954
2016-11-09,708.17,721.5,705.45,740.86,9726.251233899964,7081641.534093953,721.5,1860614.01,3.0,891716.0,254620187304.0,544983,9.796,0.225,0.751,269948,24370
2016-11-10,721.5,714.47,707.0,722.0,4996.452564080006,3570538.7438288108,714.47,2126416.01155681,3.0,804454.0,254620187304.0,525704,8.571,0.217,0.754,271206,20972
